FileName,pred_motif,exp_motif,similarity_score
fold_rncmpt00007_min7mer_s1_model_0.cif,3-6,1-7,1.0
fold_rncmpt00166_maxprobe_s1_model_0.cif,1-30,18-24,0.23333333333333334
fold_rncmpt00002_maxprobe_s1_model_0.cif,11-16,1-7,0.0
fold_rncmpt00129_maxprobe_s1_model_0.cif,9-16,3-9,0.125
fold_rncmpt00284_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00144_maxprobe_s1_model_0.cif,9-27,20-26,0.3684210526315789
fold_rncmpt00007_minprobe_s1_model_0.cif,5-15,19-25,0.0
fold_rncmpt00123_minprobe_s1_model_0.cif,10-14,23-29,0.0
fold_rncmpt00010_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00009_maxprobe_s1_model_0.cif,9-21,23-29,0.0
fold_rncmpt00270_max7mer_s1_model_0.cif,2-7,1-7,1.0
fold_rncmpt00009_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00122_maxprobe_s1_model_0.cif,5-13,13-19,0.1111111111111111
fold_rncmpt00010_minprobe_s1_model_0.cif,11-27,27-33,0.058823529411764705
fold_rncmpt00180_maxprobe_s1_model_0.cif,3-14,9-15,0.5
fold_rncmpt00003_min7mer_s1_model_0.cif,1-6,1-7,1.0
fold_rncmpt00180_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00134_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00134_minprobe_s1_model_0.cif,12-16,30-36,0.0
fold_rncmpt00006_maxprobe_s1_model_0.cif,2-13,7-13,0.5833333333333334
fold_rncmpt00270_maxprobe_s1_model_0.cif,22-29,22-28,0.875
fold_rncmpt00123_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00284_minprobe_s1_model_0.cif,4-16,11-17,0.46153846153846156
fold_rncmpt00129_max7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00004_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00187_min7mer_s1_model_0.cif,1-6,1-7,1.0
fold_rncmpt00146_min7mer_s1_model_0.cif,1-7,1-7,1.0
fold_rncmpt00131_maxprobe_s1_model_0.cif,7-33,20-26,0.25925925925925924
fold_rncmpt00003_minprobe_s1_model_0.cif,1-37,27-33,0.1891891891891892
fold_rncmpt00287_max7mer_s1_model_0.cif,1-7,1-7,1.0
